date,close
7-8-2017,22118.42
8-8-2017,22085.34
9-8-2017,22048,70
10-8-2017,21844.01
11-8-2017,21858.32
14-8-2017,21993.71
15-8-2017,21998.99
16-8-2017,22024.87
17-8-2017,21750.73
18-8-2017,21674.51
21-8-2017,21703.75
22-8-2017,21899.89
23-8-2017,21812.09
24-8-2017,21783.40
25-8-2017,21813.67
28-8-2017,21808.40
29-8-2017,21865.37
30-8-2017,21892.43
31-8-2017,21948.10
1-9-2017,21987.56
5-9-2017,21753.31
6-9-2017,21807.64
